Pattern,Reasoning_Clause,Decision
Other/Unspecified,that it is unlikely a prescriber would prescribe one 500 mg capsule and then an additional week’s worth of 250 m,Denial
Safety Established,determined that your proposed change in dosage form raises questions of safety and has concluded that investigations are required for the specific dr,Denial
Safety Established,investigations are necessary to show the safety and,Denial
Safety Established,your proposed change in dosage form raises questions of safety and has concluded that investigations are required for the specific drug product,Denial
Other/Unspecified,"stribild is a fixed-dose combination drug product (fixed-combination) that contains cobicistat and elvitegravir, both of which were previously unappr",Denial
Other/Unspecified,"filed, ferring put forth a similar contention for its fixed-combination prepopik (nda 202535), that contains picosulfate, which was a new active moi",Denial
Other/Unspecified,"converted from a petition for reconsideration that was originally submitted on september 3, 2009 and supplemented with additional information in a su",Denial
Procedural Issue,now completed its review and is denying your petition under 21 cfr 10,Denial
Other/Unspecified,"discussed further below in the sections on genetic polymorphism and risk assessment, fda is continuing to evaluate available information and will con",Denial
Other/Unspecified,ons for fda's decision,Denial
Other/Unspecified,several advantages as a restorative material,Denial
Other/Unspecified,"a broad range of applicability in clinical situations, is easy to use, and is relatively insensitive to variations in handling technique and oral con",Denial
Other/Unspecified,"ons stated below, we deny amarin's requests",Denial
Other/Unspecified,"cepa on july 26,2012, as an adjunct to diet to reduce triglyceride (tg) levels in adult patients with severe (2': 500 milligrams/deciliter (mg/dl)) hy",Denial
Other/Unspecified,"cepa is icosapent ethyl, an ethyl ester of the omega-3 fatty acid eicosapentaenoic acid (epa), which is derived from fish oil",Denial
Other/Unspecified,"cepa, i gram (g), with a recommended dose of 4 g per day taken as two capsules twice daily",Denial
Other/Unspecified,cepa' s formulation contains tocopherol as an antioxidant,Denial
Bioequivalence Demonstrated,on establishing bioequivalence for icosapent ethyl,Denial
Other/Unspecified,issued in 2014 with minor changes compared to the earlier version,Denial
Other/Unspecified,"one approved strength for vascepa, i gram (g), with a recommended dose of 4 g per day taken as two capsules twice daily",Denial
Other/Unspecified,migraine is a complex disorder that is not only characterized by headache but also several associated symptoms (i,Denial
Other/Unspecified,"t two decades, fda has approved a number of acute migraine treatments",Denial
Other/Unspecified,"reviewed your citizen petition dated september 5, 2014, and supplement dated september 12, 2014, concerning fda's requirement in title 21 ofthe code",Denial
Other/Unspecified,"chantix), available as archived content on fda's web site (http:! www",Denial
Other/Unspecified,"patients with a history of psychiatric illness did not participate in the initial clinical efficacy trials that supported approval of the nda, findin",Denial
Public Health Benefit,"also important, to understand the balance of risks and benefits",Denial
Other/Unspecified,"included in the clinical trial design to determine whether nicotine replacement, another pharmacologic option for treating tobacco dependence, offers",Denial
Other/Unspecified,"ks that we: (1) issue guidance recognizing that nut cocoa based spreads should fall within the ""honey, jams, jellies, fruit butter, molasses"" category",Denial
Other/Unspecified,"ed spreads"" such as nutella® with a 1 tbsp racc",Denial
Procedural Issue,ed spreads such as nutella® are currently not specifically listed in the regulation,Denial
Other/Unspecified,"a drug product is approved in an nda for the change described in the petition (tepadina® [thiotepa] for injection, 100 mg/vial, approved under nda 20",Denial
Procedural Issue,"originally submitted, you may seek a reconsideration of the decision not to approve your petition following the procedures set forth in 21 cfr 10",Denial
Procedural Issue,ed solely on the information contained in your original petition and must be submitted in accordance with 21 cfr 10,Denial
Other/Unspecified,"part of your original submission that you would like the agency to consider, you should submit a new petition including all the necessary in",Denial
Other/Unspecified,"additional information not included as part of your original submission that you would like the agency to consider, you should submit a new petition",Denial
Other/Unspecified,"ons described below, we are denying the actions requested in your petition",Denial
Other/Unspecified,"e population is apokyn (apomorphine hydrochloride injection), new drug application (nda) 021264, held by us worldmeds llc",Denial
Other/Unspecified,sociated with advanced parkinson's disease,Denial
Other/Unspecified,"s cartridges and is labeled for use only with a pen injector called the apokyn pen, which is itself labeled for use only with apokyn cartridges",Denial
Safety Established,to necessitate significant labeling changes to address the newly introduced safety or effectiveness problem,Denial
Safety Established,determined that your proposed change in strength raises questions of safety,Denial
Other/Unspecified,the proposed change necessitates signific,Denial
Safety Established,your proposed change in strength raises questions of safety,Denial
Other/Unspecified,discussed in more detail below in various sections of this letter,Denial
Other/Unspecified,an adjunct intended to,Denial
Other/Unspecified,", however, that in response to the concerns raised in this petition, additional warnings and labeling changes have been implemented, as discussed in m",Denial
Other/Unspecified,that seprafilm remains the only approved product in the us market indicated to reduce adhesion in the abdominal cavity,Denial
Safety Established,"of its toxicity or other potentiality for harmful effect, or the method of its use, or the collateral measures necessary to its use, is not safe for",Denial
Other/Unspecified,nonprescription drugs,Denial
Safety Established,"a nonprescription product, fda must determine the drug is safe and effective for use without the supervision of a licensed healthcare practitioner",Denial
Other/Unspecified,"reviewed the above referenced petition for exemption from premarket notification (510(k)) pursuant to section 510(m)(2) of the federal food, drug and",Denial
Other/Unspecified,sified as class ii devices under 21 cfr 862,Denial
Other/Unspecified,"""copper reduction tablet test"")",Denial
Other/Unspecified,a device intended to measure glucosuria (glucose in urine),Denial
Other/Unspecified,"urements are used in the diagnosis and treatment of carbohydrate metabolism disorders including diabetes mellitus, hypoglycetnia, and hyperglycemia",Denial
Procedural Issue,sification regulation require premarket notification under section 510(k) of the fd&c act (21 u,Denial
Other/Unspecified,sist in determining whether the model 5100 ring has 40 different characteristics or is just the ‘same technology and materials’,Denial
Other/Unspecified,"ons discussed below, we are denying your petition",Denial
Other/Unspecified,"ty ring, formerly known as the myxo etlogix annuloplasty ring (“myxo etlogix”) from 2007 to 2009, including the contents of edwards’ patent filings fo",Denial
Safety Established,"you believe that “the solutions’ risks outweigh their limited benefits” and “there are a number of other, safer alternative iv solutions for the uses",Denial
Sufficient Evidence,sessing the clinical studies and other data and information relevant to the petition,Denial
Other/Unspecified,carefully reviewed the petition and the submissions to docket fda-2018-p-4832,Denial
Safety Established,sist color blind patients in safely differentiating between tablet strengths,Denial
Other/Unspecified,sist blind or visually impaired patients,Denial
Other/Unspecified,"e, the risk of look-alike errors",Denial
Other/Unspecified,"patient access is limited to what is prescribed by their physicians, and most patients will only have access to a single strength of eut",Denial
Other/Unspecified,"a drug product is approved in an nda for the change described in the petition (ephedrine sulfate injection, 50 mg/10 ml (5 mg/ml), approved under nda",Denial
Procedural Issue,"originally submitted, you may seek a reconsideration of the decision not to approve your petition following the procedures set forth in 21 cfr 10",Denial
Procedural Issue,ed solely on the information contained in your original petition and must be submitted in accordance with 21 cfr 10,Denial
Other/Unspecified,"part of your original submission that you would like the agency to consider, you should submit a new petition including all the",Denial
Other/Unspecified,"additional information not included as part of your original submission that you would like the agency to consider, you should submit a new petition",Denial
Other/Unspecified,"the dissolution methods are validated as described in more detail below, and qualified dissolution testers are used as part of these validated method",Denial
Other/Unspecified,interchangeable13 under the ich guideline q4b evaluation and recommendation of pharmacopoeial texts for use in the ich regions (november 2007) under,Denial
Other/Unspecified,the 290 mcg dosage strength is commercially available for another therapeutic use,Denial
Other/Unspecified,"such, the percentages presented here represent only a subset of all adverse reactions that led to discontinuation”; and (4) add an asterisk to tables",Denial
Other/Unspecified,"well as the additional table that [the petition proposed] to reflect aes in trial 5, to state: “each event at a minimum must have met a threshold of",Denial
Other/Unspecified,an adverse event in this table,Denial
Other/Unspecified,"a drug product is approved in an nda for the change described in the petition (akovaz (ephedrine sulfate injection, usp), 25 mg/5 ml (5 mg/ml), appro",Denial
Procedural Issue,"originally submitted, you may seek a reconsideration of the decision not to approve your petition following the procedures set forth in 21 cfr 10",Denial
Procedural Issue,ed solely on the information contained in your original petition and must be submitted in accordance with 21 cfr 10,Denial
Other/Unspecified,"part of your original submission that you would like the agency to consider, you should submit a new petitio",Denial
Other/Unspecified,"additional information not included as part of your original submission that you would like the agency to consider, you should submit a new petitio",Denial
Procedural Issue,"an, this letter responds to your “petition[s] for administrative reconsideration under §10",Denial
Other/Unspecified,"ons set forth below, i deny your petition",Denial
Other/Unspecified,"sification of srilas 7, low intensity laser ablation (lila) system (srilas 7)",Denial
Other/Unspecified,"er’s de novo request for classification and found that, based on srilas 7’s indications, the srilas 7 did not meet the criteria under section 513(a)(1",Denial
Other/Unspecified,"sification into class i or ii and that, therefore, the device would remain in class iii",Denial
Other/Unspecified,"srilas 7’s indications, the srilas 7 did not meet the criteria under section 513(a)(1) of the federal food, drug, and cosmetic act (fd&c act) for cla",Denial
Other/Unspecified,"a drug product is approved in an nda for the change described in the petition: doxercalciferol injection 10 mcg/5 ml (2mcg/ml), approved under nda 20",Denial
Procedural Issue,"originally submitted, you may seek a reconsideration of the decision not to approve your petition following the procedures set forth in 21 cfr 10",Denial
Procedural Issue,ed solely on the information contained in your original petition and must be submitted in accordance with 21 cfr 10,Denial
Other/Unspecified,"part of your original submission that you would like the agency to consider, you should submit a new petition including all the necessary i",Denial
Other/Unspecified,"additional information not included as part of your original submission that you would like the agency to consider, you should submit a new petition",Denial
Other/Unspecified,"ed on our review of these materials and for the reasons described 2 development and licensure of vaccines to prevent covid-19; guidance for industry,",Denial
Other/Unspecified,onable grounds for the requested action,Denial
Other/Unspecified,"ons stated below, fda is denying the petitions",Denial
Other/Unspecified,"our review of these materials and for the reasons described 2 development and licensure of vaccines to prevent covid-19; guidance for industry, june",Denial
Other/Unspecified,that the petitions do not contain facts demonstrating any reasonable grounds for the requested action,Denial
Other/Unspecified,carefully reviewed the petitions and other relevant information,Denial
Other/Unspecified,"ed on our review of these materials and for the reasons described below, we conclude that the petitions do not contain facts demonstrating any reasona",Denial
Other/Unspecified,"ons stated below, fda is denying the petitions",Denial
Other/Unspecified,"e, coronavirus disease 2019 (covid-19), caused by a novel coronavirus, sars-cov-2",Denial
Other/Unspecified,a significant potential to affect national security or the health and security of u,Denial
Other/Unspecified,"our review of these materials and for the reasons described below, we conclude that the petitions do not contain facts demonstrating any reasonable g",Denial
Other/Unspecified,that the petitions do not contain facts demonstrating any reasonable grounds for the requested action,Denial
Other/Unspecified,"currently a pandemic of respiratory disease, coronavirus disease 2019 (covid-19), caused by a novel coronavirus, sars-cov-2",Denial
Public Health Benefit,a public health emergency that has a significant potential to affect national security or the health and security of u,Denial
Other/Unspecified,they are not relevant to the action requested in the petition,Denial
Procedural Issue,ons stated above and in accordance with 21 cfr 10,Denial
Safety Established,determined that nda 017814 was not discontinued or withdrawn from sale for safety or effectiveness reasons,Denial
Other/Unspecified,the drug product upon which an applicant relies in seeking approval of its anda” (§ 314,Denial
Other/Unspecified,"the orange book, available at https://www",Denial
Bioequivalence Demonstrated,"part of anda content and format, information to show that the drug product is bioequivalent to the rld); and 21 cfr 314",Denial
Safety Established,nda 017814 was not discontinued or withdrawn from sale for safety or effectiveness reasons,Denial
FDA Agrees/Warrants Action,"ed on our review of these materials, and for the reasons described below, we do not agree that the approval of etranacogene dezaparvovec requires a re",Denial
Other/Unspecified,"ons stated below, fda is denying the petition in part and will respond to the remainder of the petition at a later date",Denial
Other/Unspecified,"sociated virus vector-based gene therapy,2 for the treatment of adults with hemophilia b",Denial
FDA Agrees/Warrants Action,"our review of these materials, and for the reasons described below, we do not agree that the approval of etranacogene dezaparvovec requires a rems or",Denial
FDA Agrees/Warrants Action,"ed on our review of these materials, and for the reasons described below, we do not agree that the approval of valoctocogene roxaparvovec requires a r",Denial
Other/Unspecified,"ons stated below, fda is denying the petition",Denial
Other/Unspecified,a condition of approving etranacogene dezaparvovec and denying your request to include the eligibility (inclusion and exclusion) criteria utilized in,Denial
FDA Agrees/Warrants Action,"our review of these materials, and for the reasons described below, we do not agree that the approval of valoctocogene roxaparvovec requires a rems o",Denial
Other/Unspecified,"serts that because cgmp compliance is a statutory requirement for approval, neither tentative nor full approval of an nda may be “awarded or maintaine",Denial
Other/Unspecified,"pect of the applicant’s supply chain is noncompliant or in doubt,” and requests that fda rescind its previously granted tentative approval of yutrepia",Denial
Other/Unspecified,ed on our review of liquidia’s manufacturers and suppliers and comprehensive evaluation of relevant information11 available to the agency regarding th,Denial
Other/Unspecified,"the “sole” supplier of the api, treprostinil sodium, for liquidia (petition at 1)",Denial
Other/Unspecified,"informed fda that ys life science company, limited (yonsung), formerly yonsung fine chemicals company, limited, is liquidia’s sole trepr",Denial
Other/Unspecified,our review of liquidia’s manufacturers and suppliers and comprehensive evaluation of relevant information11 available to the agency regarding the man,Denial
Other/Unspecified,it would not be accepted for review,Denial
Other/Unspecified,"explained above, fda will not approve a suitability petition if a drug product is approved in an nda for the change described in the petition",Denial
Other/Unspecified,"been approved in an nda, the anda applicant should refer to the approved pharmaceutical equivalent designated by the agency as the rld as its basis f",Denial
Other/Unspecified,"e, fda has approved vancomycin hydrochloride for injection, 1",Denial
Other/Unspecified,"e/vial, under nda 209481 – a drug product that is pharmaceutically equivalent to the drug product proposed in your suitability petition",Denial
Other/Unspecified,no bearing on barr's supplemental new drug application (snda) seeking an rx to otc switch for plan b,Denial
Other/Unspecified,"not made a final decision whether emergency contraception will be switched to otc status and, if an otc switch occurs, which age groups would be invo",Denial
Other/Unspecified,"filed, we made a preliminary determination that your petition and its supporting information did not provide sufficient data to satisfy the statutory",Denial
Other/Unspecified,"documented in memoranda dated february 28, 2001 and april 12, 2001",Denial
Other/Unspecified,"we have done on other occasions, we deferred responding to your petition because we anticipated that the then-sponsor of plan b (barr's predecessor)",Denial
Other/Unspecified,ons stated below in this response,Denial
Safety Established,is far all the actions you request : your contention that all licensed and approved products containing thimerosal are unsafe,Denial
Safety Established,"ed discussion on safety, we address your legal arguments",Denial
FDA Agrees/Warrants Action,"ons explained above, none of the legal actions or remedies you seek are warranted",Denial
FDA Agrees/Warrants Action,violated people's rights lack merit and do not support your petition,Denial
Other/Unspecified,"and consideration, we deny the petition for the reasons stated below in this response",Denial
Other/Unspecified,"trazeneca on july 20, august 16, and november 5,2004, as well as comments submitted by john blenkinsopp, m",Denial
Other/Unspecified,"ons stated below, your request that we immediately remove crestor from the market is denied",Denial
FDA Agrees/Warrants Action,trazeneca has agreed to revise crestor’s labeling and to issue a dear healthcare professional letter describing these changes,Denial
Other/Unspecified,tatin rosuvastatin is a lipid-altering drug in the class of drugs known as statins,Denial
Other/Unspecified,"a class, statins have been shown to lower cholesterol, which can further reduce the risk of cardiovascular mortality a",Denial
Other/Unspecified,"exclusivity can be triggered by a court decision or by the commercial marketing of another applicant who shares exclusivity, it may begin to run befo",Denial
Other/Unspecified,"been submitted under this subsection [containing] such a certification, the application shall be made effective not earlier than one hundred and eigh",Denial
Other/Unspecified,sociated with all fentanyl transderrnal systems,Denial
Other/Unspecified,"ed on this evaluation, we may also consider whether to request a voluntary risk management plan (rmp) for both the innovator and generic fentanyl tran",Denial
Other/Unspecified,sified in schedule n under the controlled substances act,Denial
Other/Unspecified,"this evaluation, we may also consider whether to request a voluntary risk management plan (rmp) for both the innovator and generic fentanyl transderr",Denial
FDA Agrees/Warrants Action,"e-by-case basis, we do not think it appropriate at this time to require sponsors to certify that drugs have been formulated to minimiz",Denial
Other/Unspecified,"that the federal food, drug, and cosmetic act (fd&c act or act) does not require that fda promulgate such a rule",Denial
Other/Unspecified,that such a rule is not required to be promulgated under the act,Denial
Other/Unspecified,"acquired by cytyc corporation and, as part of the acquisition, ownership of the orphan-drug designation for 1 7-hpc was transferred to cytyc corporat",Denial
Other/Unspecified,acquired by hologic inc,Denial
Other/Unspecified,"part of the acquisition, ownership of the orphan designation of 17- hpc, for the prevention of preterm birth in singleton pregnancies, was transferre",Denial
Bioequivalence Demonstrated,"applicants must demonstrate biosimilarity, and not bioequivalence, for proposed biosimilar biological products, we are not addressing the discussion",Denial
Bioequivalence Demonstrated,ed bioequivalence testing to biological products (petition at 3),Denial
Other/Unspecified,"blood or urine, after administration of a single dose or multiple doses of each drug product to healthy volunteers",Denial
Other/Unspecified,"described in the applicable provisions of the fd&c act and part 320 (21 cfr part 320 ), rely on other in vivo and/ or in vitro methods to assess bioe",Denial
Other/Unspecified,"neither of these supplements contain the verification required by section 505(q)(1)(1) of the federal food, drug, and cosmetic act (the act), fda may",Denial
Procedural Issue,these submissions are seeking agency input and advice rather than requesting specific administrative action,Denial
Other/Unspecified,trazeneca pharmaceuticals lp (asfrazeneca) (new drug application (nda) 19-834),Denial
Other/Unspecified,its reference listed drug (rld),Denial
Procedural Issue,"discussed below, in accordance with title 21 of the code of federal regulations part 10",Denial
Procedural Issue,required by 21 cfr 10,Denial
Other/Unspecified,"ter files (september 1989), available at http://www",Denial
Other/Unspecified,"oxycodone hcl api, and the materials and controls used in its preparation",Denial
Other/Unspecified,"es in which a dmf holder is manufacturing the oxycodone hcl api, the relevant information about the api is contained in the dmf",Denial
Other/Unspecified,"ons set forth below, the petition is denied",Denial
Other/Unspecified,"approved two abbreviated new drug applications (andas) for clomiphene citrate drug products (anda 72-196, approved december 20,1988, and anda 75-528,",Denial
Other/Unspecified,originally assigned docket nwnber 2007p-0470lcpl,Denial
Other/Unspecified,changed to fda­ 2007-p-0234 as a resul,Denial
Other/Unspecified,considered the information submitted in the reconsideration petition and other relevant data available to the agency,Denial
Other/Unspecified,"ons described below, fda denies the reconsideration petition",Denial
Other/Unspecified,is for your request is presented in exhibits a-f,Denial
Other/Unspecified,"such, individuals sensitized or allergic to latex may experience allergic reactions when they consume these plant- derived food allergens",Denial
Other/Unspecified,"es, hypersensitivities to the plant-derived food allergens may precede latex sensitization (exhibit a)",Denial
Other/Unspecified,iliensis natural-rubber-latex is unknown (petition at page 4),Denial
Other/Unspecified,"tm d1076-06 standard specification for rubber- concentrated, ammonia preserved, crea",Denial
Other/Unspecified,"articulated in the 1992 statement of policy: foods derived from new plant varieties (1992 policy), which states that fda is not aware of any informat",Denial
Safety Established,"a class, foods developed by the new techniques present any different or greater safety concerns than foods developed by traditional plant breeding (f",Denial
Sufficient Evidence,"serts that recent evidence supports revising these conclusions and that such revision ""would initiate [mandatory] labeling"" for foods derived from ge",Denial
Other/Unspecified,"sert that foods derived from ge plants differ from other foods, particularly in comparison to foods derived from plants developed through traditional",Denial
Other/Unspecified,used in nepa requires considerations of both context and intensity,Denial
Other/Unspecified,"sert that the considerations listed in subparts (b)(4), (5), and (6) ""weigh heavily in favor of the preparation of an eis",Denial
Premature/Pending Action,"sert that ""uncertainties associated with abt's application have generated ongoing controversy among a broad-range of experts, lawmakers, and consumer",Denial
Other/Unspecified,is for reversing our request that ppx products be withdrawn from the market,Denial
Other/Unspecified,"ons for denying the petition are discussed in section ii of this letter, following a review of pertinent regulatory authorities and background informa",Denial
Other/Unspecified,"received by the food and drug administration (fda) on january 28, 201 1",Denial
Other/Unspecified,"received on april 26, 20 11, and fied as fda-20 ii-p-0064/sup",Denial
Other/Unspecified,a different meaning (i,Denial
Other/Unspecified,"reviewed the comments to that docket, along with comments submitted to the docket for the citizen petition and other available current scientific evi",Denial
Other/Unspecified,sociated with the use of smokeless tobacco products,Denial
Other/Unspecified,"ed on its review, fda does not intend to propose any changes to the smokeless tobacco warnings at this time",Denial
Other/Unspecified,sociated with smokeless tobacco products,Denial
Other/Unspecified,"its review, fda does not intend to propose any changes to the smokeless tobacco warnings at this time",Denial
Sufficient Evidence,evidence to show that such changes would promote greater public understanding of the risks associated with smokeless tobacco products,Denial
Other/Unspecified,"the field trial is planned for key haven rather than key west, we do not address your points that concern impacts on key west specifically",Denial
Other/Unspecified,"sociated with saliva from mosquito bites your petition cites a possible risk ""of releasing biting females, including possible increased risk of allerg",Denial
Other/Unspecified,"ed for the investigational field trial will be male, and male mosquitoes do not bite humans or other animals",Denial
Other/Unspecified,a typographical error,Denial
Other/Unspecified,"the petition is not page- numbered and includes a cover page, for purposes of this response we consider the cover page to be part of the petition, an",Denial
Other/Unspecified,"received on january 27, 2014",Denial
Other/Unspecified,part of the review of an anda application,Denial
Other/Unspecified,ons (petition at 16-30),Denial
Other/Unspecified,discussed above in section ii,Denial
Bioequivalence Demonstrated,it may be appropriate to waive the requirement to submit bioequivalence data for proposed generics of this oral solution,Denial
Other/Unspecified,"it has exhibited a dose-dependent seizure risk, which increases significantly with even modest increases in dose",Denial
Bioequivalence Demonstrated,serts that the food and drug administration (fda or agency) should treat ampyra as an nti drug and require more stringent bioequivalence criteria for,Denial
Sufficient Evidence,there is inadequate clinical evidence from placebo-controlled randomized clinical trials (rcts) to support their satbty and effectiveness for each in,Denial
Sufficient Evidence,available evidence (including evidence from observational studies) suggests that these drugs cause significant hamr in the fbrm of nrajor bleeding an,Denial
Other/Unspecified,well as other pertinent information in the current medical literature,Denial
Sufficient Evidence,inadequate clinical evidence from placebo-controlled randomized clinical trials (rcts) to support their satbty and effectiveness for each indication,Denial
Sufficient Evidence,there is inadequate clinical evidence from placebo-controlled randomized clinical trials (rcts) to support their satbty and effectiveness for each in,Denial
Sufficient Evidence,available evidence (including evidence from observational studies) suggests that these drugs cause significant hamr in the fbrm of nrajor bleeding an,Denial
Other/Unspecified,well as other pertinent information in the current medical literature,Denial
Sufficient Evidence,inadequate clinical evidence from placebo-controlled randomized clinical trials (rcts) to support their satbty and effectiveness for each indication,Denial
Sufficient Evidence,there is inadequate clinical evidence from placebo-controlled randomized clinical trials (rcts) to support their satbty and effectiveness for each in,Denial
Sufficient Evidence,available evidence (including evidence from observational studies) suggests that these drugs cause significant hamr in the fbrm of nrajor bleeding an,Denial
Other/Unspecified,well as other pertinent information in the current medical literature,Denial
Sufficient Evidence,inadequate clinical evidence from placebo-controlled randomized clinical trials (rcts) to support their satbty and effectiveness for each indication,Denial
Other/Unspecified,"considered the information submitted in the petition, the subsequent comments, and other relevant data",Denial
Other/Unspecified,"ed on our review of this information and for the reasons described below, the petition is denied",Denial
Other/Unspecified,"first approved as delalutin (hydroxyprogesterone caproate) injection under new drug application (nda) 010347, with labeling stating that the drug ""ap",Denial
Safety Established,based solely on a finding of safety,Denial
Other/Unspecified,"later reviewed under the drug efficacy study implementation program, and certain indications were found to be effective (36 fr 18115, september 9, 19",Denial
Other/Unspecified,"our review of this information and for the reasons described below, the petition is denied",Denial
Other/Unspecified,"sification of a product as a drug, biological product, device, or a combination product",Denial
Procedural Issue,"adopted regulations implementing sections 503(g) and 563 of the fd&c act, codified in part 3 (21 cfr part 3)",Denial
Other/Unspecified,will not be therapeutically equivalent to the rld that serves as the basis for the fetition,Denial
Other/Unspecified,delegated this authority to the commissioner of food and drugs,Denial
Other/Unspecified,"ons explained below, fda is denying your requests under 21 cfr § 10",Denial
Other/Unspecified,sessment (ea) and finding of no significant impact (fonsi) for the proposed trial in key haven does not require fda to complete an eis under the natio,Denial
Other/Unspecified,"are approved under section 505(c) of the federal food, drug, and cosmetic act (fd&c act) (21 u",Denial
Other/Unspecified,well as other conforming amendments,Denial
Other/Unspecified,"more inorganic phosphates are being added to packaged foods as anti-caking agents, stabilizers, leavening agents, and acidifiers (petition at pages 1",Denial
Other/Unspecified,"serts that this level ""is twice the recommended amounr (petition at page i)",Denial
Other/Unspecified,"presented in the following study: chang r, lazo m, et al",Denial
Other/Unspecified,sociated with all-cause mortality: results from nhanes iii,Denial
Bioequivalence Demonstrated,sess bioequivalent to the rld); § 314,Denial
Other/Unspecified,"a pk study measures the rate and the extent to which the drug is delivered to biological fluids (generally the bloodstream), a pd study measures effe",Denial
Other/Unspecified,sociated with the delivery of the active ingredient to the site of action,Denial
Sufficient Evidence,"issued a draft guidance for industry recommending generally that when it is not possible to use in vivo pk studies, in vivo pd effect studies, or in",Denial
Other/Unspecified,"causes and clinical presentations vary among patients with ibs-c, treatment for this condition is individualized and focuses on symptom relief",Denial
Other/Unspecified,"ons explained below, your petition is denied",Denial
Other/Unspecified,sociated with some oral moisturizer products in the marketplace,Denial
Sufficient Evidence,well as other available information leads us to conclude that there is insufficient evidence that use of oral moisturizers with a ph below a certain,Denial
Other/Unspecified,increased caries or soft tissue damage,Denial
Other/Unspecified,"ed dental caries/disease, you have not provided data to demonstrate that use of these products increases the incidence or prevalence of 1 petition at",Denial
Sufficient Evidence,insufficient evidence that use of oral moisturizers with a ph below a certain threshold is likely to result in oral pathologies such as increased car,Denial
Other/Unspecified,a request to revoke the licensing of hemlibra,Denial
Other/Unspecified,es of tma (petition at 1),Denial
Other/Unspecified,es of tma occurred when patien,Denial
Other/Unspecified,"ed on our review of this information, and for the reasons described below, the petition is denied",Denial
Other/Unspecified,"our review of this information, and for the reasons described below, the petition is denied",Denial
Bioequivalence Demonstrated,sess bioequivalent to the rld); § 314,Denial
Other/Unspecified,"a pk study measures the rate and the extent to which the drug is delivered to biological fluids (generally the bloodstream), a pd study measures effe",Denial
Other/Unspecified,sociated with the delivery of the active ingredient to the site of action,Denial
Sufficient Evidence,"issued a draft guidance for industry recommending generally that when it is not possible to use in vivo pk studies, in vivo pd effect studies, or in",Denial
Sufficient Evidence,is for our determination that the strength of the evidence does not show that the consumption of imo has a physiological effect that is beneficial to,Denial
Other/Unspecified,"""a prebiotic effect, exhibiting the properties of retaining moisture, and producing a bulking effect"" (petition at page 1 )",Denial
Sufficient Evidence,is for our determination that the strength of the evidence does not show that the consumption of imo has a physiological effect that is beneficial to,Denial
Sufficient Evidence,"physiological effects that are beneficial to human health based on evidence you submitted that ""evaluated the relationship between imo consumption an",Denial
Procedural Issue,a citizen petition (21 cfr 10,Denial
Sufficient Evidence,"evidence you submitted that ""evaluated the relationship between imo consumption and laxation and/or blood cholesterol"" (petition at page 3)",Denial
Sufficient Evidence,"sification of pharmaceutical co-crystals (april 2013) for a co-crystal, based on orthogonal spectroscopic characterization data, evidence of dissociat",Denial
Other/Unspecified,ed on the iupac gold book definition: a molecular entity formed by loose association involving two or more molecular entities (ionic or neutral); bond,Denial
Sufficient Evidence,"orthogonal spectroscopic characterization data, evidence of dissociation in vivo, and the non-ionic interactions between the individual components",Denial
Other/Unspecified,the iupac gold book definition: a molecular entity formed by loose association involving two or more molecular entities (ionic or neutral); bonding i,Denial
Other/Unspecified,well as other relevant information,Denial
Other/Unspecified,"ons set forth below, your petition is denied",Denial
Other/Unspecified,"approved on november 22, 2002 (nda 021498), and july 21, 2004 (nda 021497)",Denial
Other/Unspecified,trointestinal (gi) tract,Denial
Other/Unspecified,e (adpkd)” (petition at 1),Denial
Other/Unspecified,"ons set forth below, your petition is denied",Denial
Other/Unspecified,"e on april 23, 2018, fda approved jynarque (tolvaptan) tablets, 15, 30, 45, 60, and 90 mg,1 under new drug application (nda) 204441",Denial
Other/Unspecified,e characterized by the presence of numerous fluid-filled kidney cysts,Denial
Other/Unspecified,well as other complications,Denial
Other/Unspecified,"e has been reported to affect 300,000 to 600,000 patients in the united states; however, the clinical course of disease is variable, and the prevalenc",Denial
Other/Unspecified,e is not well understo,Denial
Safety Established,fda the drug can be safely used only if distribution or use is restricted,Denial
Other/Unspecified,"ed on our review of these materials, and for the reasons stated below, your petition is denied",Denial
Other/Unspecified,s of drugs that treat conditions of the upper gastrointestinal (gi) tract by specifically inhibiting gastric acid secretion,Denial
Other/Unspecified,"s, including combination products: prilosec, prilosec otc, prevacid, protonix, aciphex, nexium, dexilant, vimovo (combination product), talicia (combi",Denial
Other/Unspecified,"our review of these materials, and for the reasons stated below, your petition is denied",Denial
Other/Unspecified,it is inconsistent with the provisions of section 505g of the fd&c act governing deemed final orders,Denial
Other/Unspecified,"a baseline status that, as of the date of enactment of the cares act, drugs that satisfy requirements described in section 505g(a)(1) or (2) are deem",Denial
Other/Unspecified,e under section 201(p)(1) of the fd&c act (21 u,Denial
Other/Unspecified,other relevant data available to the agency,Denial
Other/Unspecified,"ed on our review of these materials and for the reasons described below, the petition is denied as to your first request",Denial
Other/Unspecified,conducted the requested investigation; the results of that investigation are described in section ii,Denial
Other/Unspecified,"al form of diazepam: 1 neurelis, inc",Denial
Other/Unspecified,"our review of these materials and for the reasons described below, the petition is denied as to your first request",Denial
Other/Unspecified,"an api, irrespective of the type of manufacturing process used",Denial
Other/Unspecified,"e of sitagliptin, an enzyme is usually used to introduce a chiral amine group in the synthesis of the starting material or intermediate for the api",Denial
