Document_ID,Docket_ID,Document_Title,Petitioner,FDA_Center,Decision,Enhanced_Category,Confidence,Key_Phrases,Rationale_Text,Document_Link
FDA-2007-P-0062-0007,FDA-2007-P-0062,"FDA/CDER to  Lachman Consultant Services, Inc.  - Petition Approval","Lachman Consultant Services, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) ofthe Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505G)(2)(C)(i) ofthe Act, the FDA must approve a petition seeking a strength that differs from the strength ofthe listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions ofsafety or effectiveness because the uses, dose, dosage form, and route of administration ofthe proposed drug product are the same as that ofthe listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the sam",
FDA-2007-P-0114-0006,FDA-2007-P-0114,"FDA/CDER Response to B. Braun Medical, Inc. - Petition Approval","B. Braun Medical, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","ral Food, Drug, and Cosmetic Act (Act) . We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505(j)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it fmds that investigations must be conducted to show the safety and effectiveness of the differing strength . The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance . In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the same the",
FDA-2007-P-0124-0007,FDA-2007-P-0124,"Letter from CDER to Lachman Consultant Services, Inc","Lachman Consultant Services, Inc.",CDER,Approved,Safety Established,high,"anda, safety, safe","t that is not identical to NDA 005213. We have reviewed your petition under section 505(j)(2)(C) of the Act and FDA’s implementing regulations at 21 CFR 314.93 and have determined that it is approved. This letter represents FDA’s determination that an ANDA may be submitted for the above-referenced drug product. Under section 505(j)(2)(C) of the Act and 21 CFR 314.93(e)(1), FDA will approve a petition 1 The Agency has determined that NDA 005213 was not voluntarily withdrawn from sale due to reasons of safety or effectiveness. Notice, Determination that HYCODAN (Hydrocodone Bitartrate and Homatropine Methylbromide) Tablets, 5 Milligrams/1.5 Milligrams, and HYCODAN (Hydrocodone Bitartrate and Homatropine Methylbromide) Oral Solution, 5 Milligrams/5 Milliliters and 1.5 Milligrams/5 Milliliters, Were Not Withdrawn From Sale for Reasons of Safety or Effectiveness, 76 Fed. Reg. 82302 (Dec. 30, 2011). 2 properly submitted under § 314.93 seeking a strength that diff",
FDA-2007-P-0127-0006,FDA-2007-P-0127,"FDA/CDER  to Ebewe Parenta Pharmaceuticals, Inc. - Petition Approval","Ebewe Parenta Pharmaceuticals, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505G)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness ofthe differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, and route of administration of the proposed drug product are the same as that ofthe listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the same therapeu",
FDA-2007-P-0185-0004,FDA-2007-P-0185,"FDA/CDER  to Lupin Pharmaceuticals, Inc. - Petition Approval","Lupin Pharmaceuticals, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) ofthe Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505G)(2)(C)(i) ofthe Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness ofthe differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the s",
FDA-2007-P-0241-0004,FDA-2007-P-0241,"FDA/CDER Response to B. Braun Medical, Inc. - Petition Approval","B. Braun Medical, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505(j)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance . In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the same the",
FDA-2007-P-0289-0006,FDA-2007-P-0289,2007-P-0289 Petition Approval Response Letter,"Lachman Consultant Services, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"bioequivalence, listed drug, proposed drug product","mitted under that section of the Act. We have reviewed your petition under section 505(j)(2)(C) of the Act and FDA’s implementing regulations at 21 CFR 314.93 and have determined that it is approved. This letter represents FDA’s determination that an ANDA may be submitted for the above-referenced drug product. Under section 505(j)(2)(C) of the Act and 21 CFR 314.93(e)(1), FDA will approve a petition properly submitted under § 314.93 seeking a strength that differs from the strength of the listed drug product unless it finds that one of the grounds for denying such a petition applies. The Agency finds that the proposed change in strength for the proposed drug product does not pose questions of safety or effectiveness. The uses, dose, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product. The proposed change is consistent with dosing recommendations in the labeling of the listed drug. In addition, if shown to meet bioequivalence requirements, the propo",
FDA-2007-P-0348-0007,FDA-2007-P-0348,FDA/CDER  to King and Spalding LLP - Petition Approval,King And Spalding Llp,CDER,Approved,Safety Established,high,"anda, safety, safe","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505G)(2)(C) ofthe Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. In addition, this petition and your waiver request were evaluated with respect to the ""Pediatric Research Equity Act of 2007"" (PREA). PREA requires that all applications for a new active ingredient, new indication, new dosage form, new dosing regimen, or new route of administration must contain an assessment ofthe safety and effectiveness of the drug for the claimed indication in relevant pediatric subpopulations unless the requirement is waived or deferred. Your ANDA suitability petition is affected by this Act because it is a petition for a change in dosage form. The FDA has determined that your proposed change in dosage form is subject to PREA, but has concluded that investigations are not necessary to demonstrate the safety and",
FDA-2007-P-0409-0007,FDA-2007-P-0409,"FDA/CDER Response to Lachman Consultant Services, Inc. - Petition Approval","Lachman Consultant Services, Inc.",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and lxdve determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug products . Under Section 505(j)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength . The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, doses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance . In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to",
FDA-2007-P-0495-0006,FDA-2007-P-0495,"FDA/CDER to Lachman Consultant Services, Inc. - Petition Approval","Lachman Consultant Services, Inc",CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Eood, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration's (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505(j)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength . The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, doses, dosage form, and route of administration of the proposed drug product are the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance . In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to hav",
FDA-2000-P-1558-0005,FDA-2000-P-1558,Approval Letter from FDA CDER to GensiaSicor Pharm,FDA CDER to GensiaSicor Pharm,CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","hange that is authorized under the Act. We have reviewed your petition under Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (Act) and have determined that it is approved. This letter represents the Agency’s determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505@(2)(C)(i) of the Act, the Agency must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety <and effectiveness of the differing strength. The Agency finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, and route of administration of the proposed drug product are the same as that of the listed drug product. The Agency concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to",https://www.regulations.gov/document/FDA-2000-P-1558-0005
FDA-2000-P-1381-0006,FDA-2000-P-1381,Petition Approval Letter from FDA to Yamanouchi Ph,FDA to Yamanouchi Ph,,Approved,Safety Established,high,"anda, safety, safe","hange that is authorized under the Act. We have reviewed your petition under Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (Act) and have determined that it is approved. This letter-represents the Agency’s determination that .an ANDA may be submitted for the above-referenced drug product. In addition, this petition was evaluated with respect to the Regulations Requiring Manufacturers to Assess the Safety and Effectiveness ofNew Drugs and Biological Products in Pediatric Patients; Final Rule, published in the Federal Register (Pediatric Rule)(63 FR 66632). The Agency has determined that your proposed change in dosage form is subject to the Pediatric Rule, but has concluded that investigatians are not necessary to demonstrate the safety and effectiveness of your proposed product in the pediatric population because the specific drug product that you reference is not intended to be marketed to children under the age of 12. Accordingly, the pediatric study requirement is waived at this time but may be reevalu",https://www.regulations.gov/document/FDA-2000-P-1381-0006
FDA-2000-P-0580-0005,FDA-2000-P-0580,Citizen Petition Approval Response Letter from FDA,FDA,,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","anges that are authorized under the Act. We have reviewed your petition under Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (Act) and have determined that it is approved. This letter represents the Agency's determination that an ANDA may be submitted for the above-referenced drug products. Under Section 505(j)(2)(C)(i) of the Act, the Agency must approve a petition seeking a strength which differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The Agency finds that the change in strength for the specific proposed drug products does not pose questions of safety or effectiveness because the uses, and route of administration of the proposed drug products are the same as that of the listed drug products. The Agency concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to",https://www.regulations.gov/document/FDA-2000-P-0580-0005
FDA-2001-P-0452-0001,FDA-2001-P-0452,Approval Letter from FDA CDER to AA1 International,FDA CDER to AA1 International,CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","deral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505(j)(2)(C) of the Act and have determined that it is approved. This letter represents the Agency's determination that an ANDA may be submitted for the above-referenced drug products. Under Section 505(j)(2)(C)(i) of the Act, the Agency must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The Agency finds that the change in strength for the specific proposed drug products do not pose questions of safety or effectiveness because the uses, dose, and route of administration of the proposed drug products are the same as that of the listed drug product. The Agency concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug products can be expected to have the same therapeutic effect as the listed",https://www.regulations.gov/document/FDA-2001-P-0452-0001
FDA-2003-P-0181-0003,FDA-2003-P-0181,Petition Approval from FDA CDER to Lachman Consult,FDA CDER to Lachman Consult,CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","ral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505@(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration’s (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505(j)(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have t",https://www.regulations.gov/document/FDA-2003-P-0181-0003
FDA-2003-P-0118-0004,FDA-2003-P-0118,Petition Approval from FDA CVM to Vetoquinol N  A ,FDA CVM to Vetoquinol N  A,CVM,Approved,Other Approval Reason,low,,"Pl Page 2 We will conduct a definitive labeling review when the ANADA for the proposed generic product is submitted to the Center. The generic labeling should be a verbatim copy of the approved labeling for the pioneer, with certain allowable differences, such as manufacturer’s tradename and the changes approved in this petition. You may contact Dr. Lonnie W. Luther, Generic Animal Drug Team, telephone 301-827- 8549, for any questions on the specific requirements for the ANADA submission. Sincerely yours, Director Office of New Animal Drug Evaluation Center for Veterinary Medicine",https://www.regulations.gov/document/FDA-2003-P-0118-0004
FDA-2003-P-0121-0002,FDA-2003-P-0121,Petition Approval from FDA CDER to Lachman Consult,FDA CDER to Lachman Consult,CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505@(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration’s (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505@(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product. The approved labeling of the listed drug indicates that the maximum recommended dose for ArnarylS (Glimepiride) Tablets is 8 mg once daily. The FDAconcludes, therefore, that investigations are not nece",https://www.regulations.gov/document/FDA-2003-P-0121-0002
FDA-2003-P-0119-0001,FDA-2003-P-0119,Petition Approval from FDA CDER to Lachman Consult,FDA CDER to Lachman Consult,CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","eral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505@(2)(C) of the Act and have determined, that it is approved. This letter represents the Food and Drug Administration’s (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505@(2)(C)(i) of the Act,‘the FDA must approve a petition seeking a strength that differs from the, strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength.’ The FDA finds that the ch,ange in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, and route of administration of the proposed drug product is the same as that of the listed drug product. The FDA concludes, therefore, that investigations are not necessary in this instance. In addition, if shown to meet bioavailability requirements, the proposed drug product can be expected to have the same jL t",https://www.regulations.gov/document/FDA-2003-P-0119-0001
FDA-2003-P-0180-0002,FDA-2003-P-0180,Petition Approval from FDA CDER to Taro Pharmaceut,FDA CDER to Taro Pharmaceut,CDER,Approved,Bioequivalence/Therapeutic Equivalence,high,"listed drug, proposed drug product, anda","ral Food, Drug, and Cosmetic Act (Act). We have reviewed your petition under Section 505($(2)(C) of the Act and have determined that it is approved. This letter represents the Food and Drug Administration’s (FDA) determination that an ANDA may be submitted for the above-referenced drug product. Under Section 505@(2)(C)(i) of the Act, the FDA must approve a petition seeking a strength that differs from the strength of the listed drug product unless it finds that investigations must be conducted to show the safety and effectiveness of the differing strength. The FDA finds that the change in strength for the specific proposed drug product does not pose questions of safety or effectiveness because the uses, dose, dosage form and route of administration of the proposed drug product are the same as that of the listed drug product. The approved labeling for the listed drug indicates that doses of war-far-in sodium must be individualized and adjusted for each patient based upon the patient’s PTLNR response to the drug and that ce",https://www.regulations.gov/document/FDA-2003-P-0180-0002
FDA-2003-P-0172-0004,FDA-2003-P-0172,Petition Approval from FDA CVM to Jurox PTY  Limit,FDA CVM to Jurox PTY  Limit,CVM,Approved,Sufficient Evidence,medium,"studies, appropriate","y studies. We will conduct a definitive labeling review when the ANADA for the proposed generic product is submitted to the Center. The generic labeling should be a verbatim copy of the approved labeling for the pioneer, with certain allowable differences, such as manufacturer’s tradename and other appropriate changes. SP 03P-0552/CPl Page 2 You may contact Dr. Lonnie W. Luther, Chief, Generic Animal Drug Team, at 301-827- 8549, for any questions on the specific requirements for the ANADA submission. Sincerely yours, Steven D. Vau&n, DVM Director Office of New Animal Drug Evaluation Center for Veterinary Medicine",https://www.regulations.gov/document/FDA-2003-P-0172-0004
FDA-2004-P-0215-0038,FDA-2004-P-0215,FDA CDER Response to Hill Dermaceuticals  Inc    P,Hill Dermaceuticals  Inc    P,CDER,Approved,Other Approval Reason,low,,"consider the issues raised by the petition in the review of any related applications, but not to respond substantively to the petition until the specific issues have been addressed in the application review context. This approach acknowledges that for complex scientific issues, the review of paricular applications can inform and enhance the decision-making process. In addition, the Agency wil consider the procedural protections embodied in statute and regulations for a sponsor whose application may be determined by the Agency not to meet the requirements for approvaL. Sections 505(c) and 505U) of the Act; 21 CFR 314.110,314.125, 314.127. Cf Draft guidance for industry, Citizen Petitions and Petitions for Stay of Action Subject to Section 505(q) of the Federal Food, Drug, and Cosmetic Act, pp. 11-12 (January 2009) (addressing relationship between citizen petitions subject to section 505( q) of the Act and the review of pending applications), available on FDA's Web site at http://www.fda.gov/cder/guidance/index.htm (last visited March",https://www.regulations.gov/document/FDA-2004-P-0215-0038
